Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
14;110кВ В. Северная;ДГК 2с;РЗ;;REF542+;;к;;8;;;;в;в;05.2020;0;2005;1;2;;;28,80;13,30;2,60;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;6;
16;110кВ В. Северная;Т-1;РЗ (REF-542 plus);4;REF542+;о;к;;9;о;;;в;в;05.2020;1;2005;1;6;;;88,30;45,10;8,40;0;0;0;;2021;1;10;;88,30;356;0;0;4;0;;;;к;;2;;;в;;;;;;1;2;ПС 110;МП;5;
17;110кВ В. Северная;Т-2;РЗ (REF-542 plus);4;REF542+;о;к;;9;о;;;в;в;05.2020;1;2005;1;6;;;143,00;71,90;14,90;0;0;0;;2021;1;10;;143,00;359;0;0;4;0;;;;к;;2;;;в;;;;;;1;2;ПС 110;МП;5;
18;110кВ В. Северная;Т-1;АРН;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;32,50;9,00;5,20;0;0;0;;;0;5;;;355;0;0;4;0;;;;к;;;;;в;;;;;;5;;ПС 110;;5;
19;110кВ В. Северная;Т-2;АРН;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;32,50;9,00;5,20;0;0;0;;;0;5;;;358;0;0;4;0;;;;к;;;;;в;;;;;;5;;ПС 110;;5;
20;110кВ В. Северная;Т-1;Автоматика обдува;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;13,10;3,00;1,20;0;0;0;;;0;10;;;354;0;1;4;0;;;;к;;;;;в;;;;;;1;;ПС 110;;5;
21;110кВ В. Северная;Т-2;Автоматика обдува;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;13,10;3,00;1,20;0;0;0;;;0;10;;;357;0;1;4;0;;;;к;;;;;в;;;;;;1;;ПС 110;;5;
22;110кВ В. Северная;СВВ-10кВ № 1;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
23;110кВ В. Северная;СВВ-10кВ № 2;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
24;110кВ В. Северная;СВВ-10кВ № 3;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
